date,ITUB4,PETR4
2025-01-02,23.281675338745117,31.045156478881836
2025-01-03,22.710485458374023,30.71588134765625
2025-01-06,23.731006622314453,30.572343826293945
2025-01-07,23.989948272705078,31.222457885742188
2025-01-08,23.60154151916504,30.969173431396484
2025-01-09,23.6624698638916,31.10426139831543
2025-01-10,23.33498191833496,31.18869400024414
2025-01-13,23.50253677368164,31.29844856262207
2025-01-14,23.517770767211914,31.087371826171875
2025-01-15,24.538291931152344,31.484201431274414
2025-01-16,24.462135314941406,31.28156280517578
2025-01-17,24.63730239868164,31.40821075439453
2025-01-20,24.873390197753906,31.484201431274414
2025-01-21,24.92669677734375,31.492643356323242
2025-01-22,24.835309982299805,31.315336227416992
2025-01-23,24.781999588012695,31.09581756591797
2025-01-24,24.721078872680664,30.935394287109375
2025-01-27,25.315107345581055,31.391324996948242
2025-01-28,25.36080551147461,31.349111557006836
2025-01-29,25.29987907409668,31.154918670654297
2025-01-30,25.91676139831543,31.56863021850586
2025-01-31,25.74921226501465,31.82192039489746
2025-02-03,25.511207580566406,31.661500930786133
2025-02-04,25.602643966674805,31.349111557006836
2025-02-05,25.991252899169922,31.121143341064453
2025-02-06,26.036977767944336,31.062042236328125
2025-02-07,25.846481323242188,30.884742736816406
2025-02-10,26.128414154052734,31.09581756591797
2025-02-11,26.40272331237793,31.09581756591797
2025-02-12,25.671226501464844,30.631444931030273
2025-02-13,25.808387756347656,30.665224075317383
2025-02-14,26.49416732788086,31.610843658447266
2025-02-17,26.54750633239746,31.805030822753906
2025-02-18,26.50309944152832,32.38760757446289
2025-02-19,26.255624771118164,32.45515060424805
2025-02-20,26.18378257751465,32.50580596923828
2025-02-21,26.103954315185547,32.412933349609375
2025-02-24,25.96026039123535,32.184967041015625
2025-02-25,26.223695755004883,32.041439056396484
2025-02-26,26.159833908081055,32.041439056396484
2025-02-27,26.135887145996094,30.91006851196289
2025-02-28,25.497255325317383,30.335935592651367
2025-03-05,25.878768920898438,29.229896545410156
2025-03-06,25.926692962646484,28.925947189331055
2025-03-07,26.038516998291016,29.23834228515625
2025-03-10,26.2701416015625,29.229896545410156
2025-03-11,26.038516998291016,28.790857315063477
2025-03-12,26.118389129638672,28.790857315063477
2025-03-13,26.541709899902344,29.07792091369629
2025-03-14,27.404340744018555,29.972885131835938
2025-03-17,28.227025985717773,30.530132293701172
2025-03-18,28.3787841796875,30.555461883544922
2025-03-19,28.44907569885254,30.530132293701172
2025-03-20,28.185489654541016,30.597681045532227
2025-03-21,28.246997833251953,31.07048797607422
2025-03-24,28.273347854614258,31.028270721435547
2025-03-25,28.50179100036621,31.27312469482422
2025-03-26,28.194278717041016,31.56863021850586
2025-03-27,28.229419708251953,31.805030822753906
2025-03-28,27.842844009399414,31.602401733398438
2025-03-31,27.596830368041992,31.374439239501953
2025-04-01,27.603557586669922,31.492643356323242
2025-04-02,27.61234474182129,31.40821075439453
2025-04-03,28.10464096069336,30.395042419433594
2025-04-04,27.3749942779541,29.170793533325195
2025-04-07,27.4277400970459,28.014095306396484
2025-04-08,27.4365291595459,27.0178165435791
2025-04-09,27.937612533569336,28.115413665771484
2025-04-10,27.823328018188477,26.367700576782227
2025-04-11,27.963985443115234,26.89116859436035
2025-04-14,28.421112060546875,26.789852142333984
2025-04-15,28.781543731689453,26.173507690429688
2025-04-16,28.737585067749023,26.173507690429688
2025-04-17,28.790332794189453,26.691001892089844
2025-04-22,29.352954864501953,26.751564025878906
2025-04-23,29.968311309814453,26.448747634887695
2025-04-24,30.54851722717285,26.327625274658203
2025-04-25,30.434242248535156,26.40549087524414
2025-04-28,30.75950813293457,26.301666259765625
2025-04-29,31.00565528869629,26.440095901489258
2025-04-30,31.27817153930664,25.946941375732422
2025-05-02,31.196943283081055,26.656394958496094
2025-05-05,30.642841339111328,25.661428451538086
2025-05-06,30.48453140258789,26.085369110107422
2025-05-07,30.818750381469727,26.20649528503418
2025-05-08,31.065011978149414,26.56987190246582
2025-05-09,32.74491882324219,26.74291229248047
2025-05-12,32.085269927978516,27.383150100708008
2025-05-13,32.481056213378906,27.798442840576172
2025-05-14,32.70094680786133,27.60809898376465
2025-05-15,33.14070510864258,27.5734920501709
2025-05-16,33.33420181274414,27.703269958496094
2025-05-19,33.72998809814453,27.66866111755371
2025-05-20,33.68601989746094,27.78113555908203
2025-05-21,33.00878143310547,27.46967124938965
2025-05-22,32.78009796142578,27.106290817260742
2025-05-23,33.1758918762207,27.166854858398438
2025-05-26,33.24625778198242,27.080333709716797
2025-05-27,33.51011657714844,27.279329299926758
2025-05-28,33.237464904785156,27.192808151245117
2025-05-29,32.973602294921875,27.028423309326172
2025-05-30,32.92082977294922,26.734262466430664
2025-06-02,32.68996810913086,26.88999366760254
2025-06-03,32.58437728881836,26.898162841796875
2025-06-04,32.50518798828125,26.158418655395508
2025-06-05,32.109214782714844,26.167333602905273
2025-06-06,32.18840026855469,26.44362449645996
2025-06-09,32.02122116088867,25.99799346923828
2025-06-10,31.971567153930664,26.78230094909668
2025-06-11,32.26464080810547,27.67355728149414
2025-06-12,32.5133056640625,28.297441482543945
2025-06-13,32.1225471496582,28.992618560791016
2025-06-16,32.70869064331055,28.707416534423828
2025-06-17,32.90407943725586,29.358036041259766
2025-06-18,32.70869064331055,29.331296920776367
2025-06-20,32.53995132446289,29.25108528137207
2025-06-23,32.46889877319336,28.520254135131836
2025-06-24,33.081687927246094,27.95876121520996
2025-06-25,32.48666763305664,27.816160202026367
2025-06-26,32.24687957763672,28.03897476196289
2025-06-27,32.21135711669922,27.816160202026367
